クラス名,備考,,
クッキングヒータ,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す。,ON＝0x30 、 OFF=0x31
0xB1,加熱状態,左コンロ加熱状態：右コンロ加熱状_x000a_態：奥コンロ加熱状態：ロースタ加 熱状態,待機中：0x40 運転中：0x41 一時停止中：0x42 加熱禁止状態：0x50 不明：0xFF
0xB2,加熱設定,左コンロ設定：右コンロ設定：奥コン_x000a_ロ設定：ロースタ設定,加熱停止：0x40 加熱開始・再開：0x41 加熱一時停止：0x42 設定なし：0xFF
0xB3,一括停止設定,左コンロ／右コンロ／奥コンロ／ロ_x000a_ースタのすべての加熱停止を設定 する。,一括加熱停止：0x40
0xE7,加熱出力設定,左コンロ加熱出力：右コンロ加熱出_x000a_力：奥コンロ加熱出力：ロースタ加 熱出力,・出力設定形式（0.10000W）_x000a_：0x0000.0x2710_x000a_・レベル設定形式（１７段階）_x000a_：0x3000.0x3010_x000a_・状態表現形式：_x000a_とろ火：0x4002 弱火：0x4004 中火：0x4006 強火：0x4008 ハイパワー：0x400a_x000a_・未設定：0xFFFF
0xE3,加熱温度設定値,左コンロ設定温度：右コンロ設定温_x000a_度：奥コンロ設定温度,設定温度（50.250℃）_x000a_：0x32.0xFA 設定なし：0xFF
0xE0,コンロ加熱モード 設定,左コンロ加熱モード：右コンロ加熱_x000a_モード：奥コンロ加熱モード,加熱出力制御モード：0x41 天ぷら（揚げ物）：0x42 湯沸し：0x43   炊飯：0x44   炒め物：0x45 設定なし：0xFF
0x96,切タ イ マ 相対時間 _x000a_設定値,左コンロ切タイマ時間：右コンロ切_x000a_タイマ時間：奥コンロ切タイマ時間： ロースタ切タイマ時間,切タイマ時間設定値を HH:MM:SS で_x000a_設定し切タイマを動作させ、更新され た現在の切タイマ相対時間設定値 を取得する。_x000a_0.0X17: 0.0X3B : 0.0X3B   ×４_x000a_(=0.23):(=0.59) :(=0.59)_x000a_設定なし：0XFFFFFF
0xA1,チャ イ ル ド ロ ッ ク 設_x000a_定,チャイルドロック ON／OFF 設定,チャイルドロック OFF  ： 0x40_x000a_チャイルドロック ON  ： 0x41
0xA2,ラジエントヒータロッ_x000a_ク設定,ラジエントヒータロック ON／OFF,ラジエントヒータロック OFF：0x40_x000a_ラジエントヒータロック ON：0x41
