Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Smart electric energy meter,,0x02,0x88,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",.,unsigned char,1,-,optional,mandatory,mandatory,
0xD0,Electric energy meter classification,This property indicates the electric energy meter type.,0x30: Electric utility company 0x31: Solar power 0x32: Fuel cell 0x33: Battery 0x34: EV 0x35: Others,.,unsigned char,1,-,optional,optional,-,
0xD1,Owner classification,This property indicates the type of owner of the meter.,0x30: Not specified 0x31: Electric utility company 0x32: Other than electric utility companies 0x33: Individual,.,unsigned char,1,-,optional,optional,-,
0xD2,Phases and wires setting status,This property indicates the phases and wires setting status.,"Single-phase, two-wire system: 0x30 Single-phase, three-wire system: 0x31 Three-phase, three-wire system: 0x32 Three-phase, four-wire system: 0x33",,unsigned char,1,-,-,optional,-,
0xD3,Composite transformation ratio,This property indicates the composite transformation ratio using a 6-digit decimal notation number.,0x00000000.0x000F423F (000000.999999),,unsigned long,4,-,-,optional,-,
0xD4,Multiplying factor for composite transformation ratio,This property indicates the multiplying factor for the composite transformation ratio.,0x00 : ×1 0x01 : ×0.1 0x02 : ×0.01 0x03 : ×0.001,,unsigned char,1,-,-,optional,-,
0xD5,Meter type certification number,This property indicates the type-certified meter number using a string of 10 alphanumeric characters,Type-certified meter (type number):,,unsigned char × 10,10,-,-,optional,-,
0xD6,Year and month of inspection expiry,This property indicates the year and month of inspection expiry of the meter by a six-byte ASCII code.,"YYYYMM YYYY (Year), MM (Month)",,unsigned char × 6,6,-,optional,optional,-,
0xD7,Number of effective digits for cumulative amounts of electric energy,This property indicates the number of effective digits for measured cumulative amounts of electric energy.,0x01.0x08 (1.8),digit,unsigned char,1,-,-,mandatory,-,
0xE0,Measured cumulative amount of electric energy (normal direction),This property indicates the measured cumulative amount of electric energy using an 8-digit decimal notation number.,"0x00000000.0x05F5E0FF (0.99,999,999)",kWh,unsigned long,4,-,-,mandatory,-,
0xE1,Unit for cumulative amounts of electric energy (normal and reverse directions),This property indicates the unit (multiplying factor) used for the measured cumulative amount of electric energy and the historical data of measured cumulative amounts of electric energy.,0x00: 1kWh 0x01: 0.1kWh 0x02: 0.01kWh 0x03: 0.001kWh 0x04: 0.0001kWh 0x0A: 10kWh 0x0B: 100kWh 0x0C: 1000kWh 0x0D: 10000kWh,.,unsigned char,1,-,-,mandatory,-,
0xE2,Historical data of measured cumulative amounts of electric energy (normal direction),"This property indicates the day for which the historical data of measured cumulative amounts of electric energy is to be retrieved and the historical data of measured cumulative amounts of electric energy (up to 8 digits), which consists of 48 pieces of half-hourly data for the preceding 24 hours.","0x0000.0x0063: 0x00000000.0x05F5E0FF (0.99) : (0.99,999,999)",kWh,unsigned short + unsigned long ×48,194,-,-,optional,-,
0xE3,Measured cumulative amounts of electric energy (reverse direction),This property indicates the measured cumulative amounts of electric energy using an 8-digit decimal notation number.,"0x00000000.0x05F5E0FF (0.99,999,999)",kWh,unsigned long,4,-,-,optional,-,
0xE4,Historical data of measured cumulative amounts of electric energy (reverse direction),"This property indicates the day for which the historical data of measured cumulative amounts of electric energy is to be retrieved and the historical data of measured cumulative amounts of electric energy (up to 8 digits), which consists of 48 pieces of half-hourly data for the preceding 24 hours.","0x0000.0x0063: 0x00000000.0x05F5E0FF (0.99) : (0.99,999,999)",kWh,unsigned short +unsigned long ×48,194,-,-,optional,-,
0xE5,Day for which the historical data of measured cumulative amounts of electric energy is to be retrieved,This property indicates the day for which the historical data of measured cumulative amounts of electric energy (which consists of 48 pieces of half-hourly data for the preceding 24 hours) is to be retrieved.,0x00.0x63 (0.99) 0: current day 1. 99: previous day. day that precedes the current day by 99 days,,unsigned char,1,-,optional,optional,-,
0xE7,Measured instantaneous electric energy,This property indicates the measured effective instantaneous electric energy in watts.,"0x80000001.0x7FFFFFFD (-2,147,483,647. 2,147,483,645)",W,signed long,4,-,-,optional,-,
